DisNo.,Country,Location,Year,Disaster_type,Subtype,Deaths,Total_affected,Total_damage_000usd,City,Damage_million_usd,Decade
1999-0610-NGA,Nigeria,North,1999,Flood,Riverine flood,0.0,25000.0,,Lagos,0.0,1990
1994-0208-NGA,Nigeria,"Borno, Kebbi, Kaduna, Sokoto, Katsina, Kogi, Kwara, Plateau, Abia, Adamawa, Taraba, Amambra, Edo, Cross River, Jigawa, Niger, Bauchi, Benue, Akwa, Ibom, River, Imo, Kano",1994,Flood,Riverine flood,30.0,580000.0,66500.0,Lagos,66.5,1990
1994-0632-ZAF,South Africa,"Capetown, Cape Peninsula",1994,Flood,Flood (General),0.0,11000.0,,Durban,0.0,1990
1996-0010-ZAF,South Africa,Kwazulu-Natal province,1996,Flood,Flash flood,7.0,500.0,,Durban,0.0,1990
1997-0033-ZAF,South Africa,Natal Province,1997,Flood,Flood (General),0.0,307.0,,Durban,0.0,1990
1998-0308-NGA,Nigeria,"Pategi, Edu, Moro districts (Kwara state), Edati, Mokwa, Lavun districts (Niger state)",1998,Flood,Riverine flood,0.0,100000.0,,Lagos,0.0,1990
2021-0075-ZAF,South Africa,"Mpumalanga Province, Free State Province and the area of Johannesburg and Pretoria, Limpopo, Mpumalanga, KwaZulu-Natal and Northern Cape Provinces",2021,Flood,Flood (General),31.0,400.0,75000.0,Durban,75.0,2020
2021-0521-NGA,Nigeria,"Jigawa,Bauchi, Adamawa and Borno states; Jalingo, Taraba, and the city of Lagos",2021,Flood,Flood (General),0.0,7500.0,,Lagos,0.0,2020
2022-0009-ZAF,South Africa,Eastern Cape Province,2022,Flood,Flood (General),10.0,0.0,70000.0,Durban,70.0,2020
1999-0370-NGA,Nigeria,"Sokoto state (Nord-Ouest), Adamawa, Borno (Nord-Est), Niger (Centre), Kwara (Centre-Ouest)",1999,Flood,Riverine flood,39.0,90000.0,,Lagos,0.0,1990
1999-0426-ZAF,South Africa,city of Durban (Kwazulu-Natal Province),1999,Flood,Flash flood,4.0,300.0,13300.0,Durban,13.3,1990
2017-0272-NGA,Nigeria,"Ekiti, Osun, Akwa Ibom, Kebbi, Niger (Suleja, Tafa), Kwara, Ebonyi, Enugu, Abia, Oyo (Ibadan), Lagos (Victoria Island, Lekki, Oniru), Plateau, Sokoto, Edo, Bayelsa",2017,Flood,Flood (General),20.0,500.0,,Lagos,0.0,2010
2017-0217-ZAF,South Africa,"KwaZulu-Natal, Nquthu (Umzinyathi District), Zinkwazi (Ilembe District), Mzingwenya (Uthungulu District), uMzumbe municipality, uMdoni, uMuziwabantu (Ugu)",2017,Flood,Flood (General),3.0,200.0,,Durban,0.0,2010
2022-0674-NGA,Nigeria,"Anambra, Delta, Cross River, Rivers, Benue, Borno, Enugu, Imo, Kebbi, Kogi, Lagos, Nasarawa, Niger, Rivers,Taraba, and Yobe states",2022,Flood,Flood (General),603.0,2802500.0,4200000.0,Lagos,4200.0,2020
2023-0672-NGA,Nigeria,Emirates of Dukku and Nafada in Gombe State,2023,Flood,Flood (General),0.0,1336.0,,Lagos,0.0,2020
2023-0855-ZAF,South Africa,"Ladysmith, Mandeni (KwaZulu-Natal province)",2023,Flood,Flood (General),34.0,1800.0,,Durban,0.0,2020
2024-0635-NGA,Nigeria,"Adamawa, Borno, Bauchi, Sokoto, Zamfara and Jigawa states",2024,Flood,Flood (General),321.0,1377411.0,225000.0,Lagos,225.0,2020
2014-0211-NGA,Nigeria,"Ibadan North, Ibadan North-East, Ibadan North-West, Ibadan South-East, Ibadan South-West districts (Oyo province)",2014,Flood,Riverine flood,15.0,10000.0,,Lagos,0.0,2010
2012-0469-ZAF,South Africa,"Bathurst, Port Alfred, Kenton-on-Sea towns (Ndlambe area, Cacadu district, Eastern Cape province), Grahamstown town (Makana area, Cacadu district, Eastern Cape province)",2012,Flood,Riverine flood,13.0,125000.0,200000.0,Durban,200.0,2010
2020-0257-NGA,Nigeria,Akwa Ibom (southern part of the country) and Kwara (west-central Nigeria),2020,Flood,Flood (General),4.0,300.0,,Lagos,0.0,2020
