Year,Precipitation_mm,City,Decade
1950,1167.06,Durban,1950
1951,893.55,Durban,1950
1952,1010.01,Durban,1950
1953,912.05,Durban,1950
1954,791.29,Durban,1950
1955,922.45,Durban,1950
1956,1191.49,Durban,1950
1957,1153.92,Durban,1950
1958,1063.66,Durban,1950
1959,950.08,Durban,1950
1960,1187.11,Durban,1960
1961,990.65,Durban,1960
1962,1012.46,Durban,1960
1963,1005.71,Durban,1960
1964,1078.9,Durban,1960
1965,764.56,Durban,1960
1966,848.86,Durban,1960
1967,959.69,Durban,1960
1968,977.82,Durban,1960
1969,1033.07,Durban,1960
1970,1049.99,Durban,1970
1971,1064.43,Durban,1970
1972,1018.36,Durban,1970
1973,1145.67,Durban,1970
1974,1103.02,Durban,1970
1975,1215.66,Durban,1970
1976,1175.72,Durban,1970
1977,1122.71,Durban,1970
1978,997.47,Durban,1970
1979,921.58,Durban,1970
1980,718.26,Durban,1980
1981,821.97,Durban,1980
1982,759.05,Durban,1980
1983,871.71,Durban,1980
1984,1066.05,Durban,1980
1985,1095.07,Durban,1980
1986,1049.95,Durban,1980
1987,1298.14,Durban,1980
1988,1115.31,Durban,1980
1989,1095.07,Durban,1980
1990,982.0,Durban,1990
1991,978.85,Durban,1990
1992,728.81,Durban,1990
1993,873.09,Durban,1990
1994,842.48,Durban,1990
1995,1113.43,Durban,1990
1996,1153.58,Durban,1990
1997,1171.87,Durban,1990
1998,965.55,Durban,1990
1999,1060.15,Durban,1990
2000,1242.33,Durban,2000
2001,1033.77,Durban,2000
2002,883.85,Durban,2000
2003,787.55,Durban,2000
2004,971.64,Durban,2000
2005,989.27,Durban,2000
2006,1155.1,Durban,2000
2007,776.12,Durban,2000
2008,798.16,Durban,2000
2009,991.91,Durban,2000
2010,927.04,Durban,2010
2011,957.82,Durban,2010
2012,1088.58,Durban,2010
2013,962.27,Durban,2010
2014,818.02,Durban,2010
2015,743.15,Durban,2010
2016,908.28,Durban,2010
2017,998.96,Durban,2010
2018,859.96,Durban,2010
2019,877.55,Durban,2010
2020,945.62,Durban,2020
2021,1112.01,Durban,2020
2022,1278.37,Durban,2020
2023,1035.17,Durban,2020
2024,870.29,Durban,2020
1950,2349.68,Lagos,1950
1951,2269.95,Lagos,1950
1952,2353.36,Lagos,1950
1953,1799.54,Lagos,1950
1954,1634.04,Lagos,1950
1955,2084.08,Lagos,1950
1956,1965.11,Lagos,1950
1957,2582.56,Lagos,1950
1958,1611.21,Lagos,1950
1959,1512.29,Lagos,1950
1960,1803.04,Lagos,1960
1961,1752.91,Lagos,1960
1962,1937.47,Lagos,1960
1963,2086.11,Lagos,1960
1964,1465.82,Lagos,1960
1965,1948.33,Lagos,1960
1966,1780.48,Lagos,1960
1967,2010.82,Lagos,1960
1968,2605.65,Lagos,1960
1969,2081.11,Lagos,1960
1970,2078.47,Lagos,1970
1971,2454.68,Lagos,1970
1972,1987.18,Lagos,1970
1973,2207.18,Lagos,1970
1974,2169.93,Lagos,1970
1975,2029.11,Lagos,1970
1976,2042.85,Lagos,1970
1977,1761.67,Lagos,1970
1978,1988.66,Lagos,1970
1979,2304.89,Lagos,1970
1980,2750.48,Lagos,1980
1981,2105.24,Lagos,1980
1982,1712.95,Lagos,1980
1983,1513.07,Lagos,1980
1984,1775.45,Lagos,1980
1985,2017.14,Lagos,1980
1986,1756.73,Lagos,1980
1987,1997.11,Lagos,1980
1988,2358.61,Lagos,1980
1989,2002.73,Lagos,1980
1990,1772.18,Lagos,1990
1991,1982.29,Lagos,1990
1992,1708.72,Lagos,1990
1993,1757.23,Lagos,1990
1994,1776.69,Lagos,1990
1995,1985.52,Lagos,1990
1996,2008.39,Lagos,1990
1997,1712.07,Lagos,1990
1998,1618.25,Lagos,1990
1999,2121.25,Lagos,1990
2000,1806.6,Lagos,2000
2001,1645.12,Lagos,2000
2002,1819.7,Lagos,2000
2003,1686.52,Lagos,2000
2004,1757.13,Lagos,2000
2005,1650.87,Lagos,2000
2006,2030.68,Lagos,2000
2007,2012.1,Lagos,2000
2008,1793.72,Lagos,2000
2009,1646.57,Lagos,2000
2010,1767.9,Lagos,2010
2011,1681.55,Lagos,2010
2012,1983.32,Lagos,2010
2013,1476.2,Lagos,2010
2014,2007.12,Lagos,2010
2015,1695.51,Lagos,2010
2016,1968.92,Lagos,2010
2017,1812.49,Lagos,2010
2018,1849.58,Lagos,2010
2019,2340.41,Lagos,2010
2020,1491.9,Lagos,2020
2021,1743.38,Lagos,2020
2022,1507.06,Lagos,2020
2023,1787.29,Lagos,2020
2024,1402.1,Lagos,2020
