Country Name,Year,Urban_population,City,Decade
Nigeria,1960,6412057.0,Lagos,1960
South Africa,1960,7676362.0,Durban,1960
Nigeria,1961,6801941.0,Lagos,1960
South Africa,1961,7923539.0,Durban,1960
Nigeria,1962,7211317.0,Lagos,1960
South Africa,1962,8188438.0,Durban,1960
Nigeria,1963,7636618.0,Lagos,1960
South Africa,1963,8463825.0,Durban,1960
Nigeria,1964,8079467.0,Lagos,1960
South Africa,1964,8747707.0,Durban,1960
Nigeria,1965,8547949.0,Lagos,1960
South Africa,1965,9040594.0,Durban,1960
Nigeria,1966,9042378.0,Lagos,1960
South Africa,1966,9343516.0,Durban,1960
Nigeria,1967,9559134.0,Lagos,1960
South Africa,1967,9657131.0,Durban,1960
Nigeria,1968,10104377.0,Lagos,1960
South Africa,1968,9979951.0,Durban,1960
Nigeria,1969,10683682.0,Lagos,1960
South Africa,1969,10310032.0,Durban,1960
Nigeria,1970,11298993.0,Lagos,1970
South Africa,1970,10644784.0,Durban,1970
Nigeria,1971,11950843.0,Lagos,1970
South Africa,1971,10977644.0,Durban,1970
Nigeria,1972,12642079.0,Lagos,1970
South Africa,1972,11311552.0,Durban,1970
Nigeria,1973,13380166.0,Lagos,1970
South Africa,1973,11653027.0,Durban,1970
Nigeria,1974,14172464.0,Lagos,1970
South Africa,1974,11999089.0,Durban,1970
Nigeria,1975,15025776.0,Lagos,1970
South Africa,1975,12348934.0,Durban,1970
Nigeria,1976,15938369.0,Lagos,1970
South Africa,1976,12701226.0,Durban,1970
Nigeria,1977,16916270.0,Lagos,1970
South Africa,1977,13064634.0,Durban,1970
Nigeria,1978,17958703.0,Lagos,1970
South Africa,1978,13443970.0,Durban,1970
Nigeria,1979,19058715.0,Lagos,1970
South Africa,1979,13834009.0,Durban,1970
Nigeria,1980,20222112.0,Lagos,1980
South Africa,1980,14287127.0,Durban,1980
Nigeria,1981,21434676.0,Lagos,1980
South Africa,1981,14813920.0,Durban,1980
Nigeria,1982,22688396.0,Lagos,1980
South Africa,1982,15375619.0,Durban,1980
Nigeria,1983,23906443.0,Lagos,1980
South Africa,1983,15973309.0,Durban,1980
Nigeria,1984,25167922.0,Lagos,1980
South Africa,1984,16599643.0,Durban,1980
Nigeria,1985,26552745.0,Lagos,1980
South Africa,1985,17240710.0,Durban,1980
Nigeria,1986,27965480.0,Lagos,1980
South Africa,1986,17930886.0,Durban,1980
Nigeria,1987,29421658.0,Lagos,1980
South Africa,1987,18699902.0,Durban,1980
Nigeria,1988,30939523.0,Lagos,1980
South Africa,1988,19523061.0,Durban,1980
Nigeria,1989,32523517.0,Lagos,1980
South Africa,1989,20363299.0,Durban,1980
Nigeria,1990,34173569.0,Lagos,1990
South Africa,1990,21175017.0,Durban,1990
Nigeria,1991,35865117.0,Lagos,1990
South Africa,1991,21844459.0,Durban,1990
Nigeria,1992,37617533.0,Lagos,1990
South Africa,1992,22359457.0,Durban,1990
Nigeria,1993,39456071.0,Lagos,1990
South Africa,1993,22901383.0,Durban,1990
Nigeria,1994,41372469.0,Lagos,1990
South Africa,1994,23359070.0,Durban,1990
Nigeria,1995,43370746.0,Lagos,1990
South Africa,1995,23738963.0,Durban,1990
Nigeria,1996,45445440.0,Lagos,1990
South Africa,1996,24174620.0,Durban,1990
